ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,STATUS,BALANCE,OPEN_DATE
1,534,Current,Active,213085.0,2015-04-02
2,97,Savings,Active,7701.96,2019-01-07
3,189,Savings,Dormant,22333.26,2022-07-03
4,77,Savings,Active,33210.97,2022-11-29
5,241,Fixed Deposit,Active,36182.98,2024-07-02
6,450,Salary,Active,34749.26,2026-01-25
7,161,Savings,Active,35573.22,2022-01-09
8,494,Current,Active,55839.31,2021-08-26
9,364,Fixed Deposit,Active,28913.58,2024-12-02
10,378,Savings,Closed,52232.79,2022-10-25
11,564,Fixed Deposit,Active,39602.39,2019-02-17
12,260,Current,Dormant,79203.87,2022-03-12
13,207,Salary,Active,79344.93,2021-04-08
14,597,Salary,Active,29031.57,2017-08-11
15,335,Savings,Active,56759.61,2020-11-21
16,369,Savings,Active,87700.94,2022-02-13
17,178,Current,Dormant,18724.4,2025-04-26
18,130,Savings,Closed,39411.71,2021-08-17
19,102,Savings,Dormant,54983.64,2016-11-18
20,135,Salary,Active,17998.8,2026-04-11
21,118,Savings,Dormant,31914.12,2021-08-07
22,449,Current,Active,129648.57,2018-04-12
23,35,Fixed Deposit,Closed,28092.67,2023-08-12
24,378,Savings,Active,30703.2,2019-05-24
25,570,Current,Active,65054.77,2019-03-24
26,460,Salary,Active,16042.3,2024-08-01
27,242,Current,Active,40076.64,2024-11-26
28,36,Savings,Active,21871.69,2020-12-24
29,501,Savings,Closed,52160.21,2019-04-05
30,2,Salary,Dormant,1393.56,2024-11-08
31,409,Savings,Closed,47015.29,2016-12-23
32,403,Current,Active,56088.59,2023-07-13
33,116,Savings,Active,32581.31,2021-09-01
34,444,Savings,Active,34234.79,2024-10-01
35,106,Salary,Active,29429.43,2019-10-20
36,136,Current,Active,39672.28,2024-07-01
37,488,Salary,Active,115040.6,2015-03-05
38,588,Savings,Active,80905.12,2023-08-28
39,159,Current,Active,39642.69,2015-10-19
40,553,Fixed Deposit,Active,31923.25,2022-05-02
41,548,Savings,Active,75765.27,2017-03-25
42,462,Savings,Active,49731.3,2025-12-31
43,85,Fixed Deposit,Closed,17591.85,2023-10-14
44,180,Savings,Active,36186.85,2016-03-12
45,407,Current,Dormant,107024.37,2025-03-08
46,600,Salary,Active,63250.67,2017-11-16
47,489,Savings,Active,32204.6,2021-03-25
48,253,Savings,Active,11075.88,2015-12-22
49,142,Savings,Dormant,51970.0,2016-03-16
50,577,Savings,Active,44504.36,2017-10-03
51,166,Savings,Active,38706.31,2021-02-06
52,206,Current,Active,76349.83,2021-03-13
53,579,Savings,Active,63804.4,2024-10-07
54,337,Current,Active,11466.41,2016-11-19
55,159,Savings,Active,44691.03,2023-07-23
56,4,Savings,Active,14494.03,2015-01-25
57,258,Savings,Active,29832.54,2018-04-28
58,592,Fixed Deposit,Active,13473.21,2016-12-30
59,260,Current,Active,13948.67,2016-05-31
60,420,Savings,Dormant,56641.05,2021-09-03
61,152,Fixed Deposit,Dormant,52684.16,2025-04-13
62,466,Current,Active,42235.23,2022-08-13
63,466,Savings,Active,27765.03,2024-10-01
64,365,Salary,Active,12522.73,2021-10-02
65,464,Savings,Active,29945.65,2015-08-12
66,348,Savings,Active,52854.59,2018-12-13
67,227,Current,Active,51983.08,2024-05-27
68,443,Savings,Closed,105549.13,2015-07-04
69,502,Savings,Active,95631.28,2016-02-10
70,505,Fixed Deposit,Dormant,43505.08,2024-07-08
71,128,Savings,Active,29692.45,2015-09-21
72,406,Fixed Deposit,Active,22355.99,2025-12-14
73,3,Salary,Active,10670.24,2023-08-30
74,344,Current,Active,16026.71,2022-08-05
75,343,Fixed Deposit,Dormant,52911.04,2021-02-14
76,219,Fixed Deposit,Active,66916.02,2016-01-08
77,597,Salary,Active,34645.3,2019-09-25
78,530,Savings,Active,180991.86,2024-03-22
79,24,Savings,Dormant,16172.35,2025-04-27
80,126,Current,Active,9624.28,2020-02-07
81,125,Current,Dormant,178948.61,2024-07-31
82,539,Savings,Dormant,11928.34,2023-11-13
83,312,Current,Active,34274.23,2015-08-29
84,438,Savings,Active,23982.92,2022-01-30
85,486,Salary,Active,55766.43,2022-01-13
86,461,Savings,Closed,32273.91,2021-03-13
87,54,Savings,Active,67062.5,2023-10-26
88,85,Savings,Active,77417.6,2025-02-26
89,238,Savings,Active,10563.3,2021-04-14
90,204,Savings,Active,21729.38,2018-08-29
91,449,Savings,Active,71104.67,2026-03-23
92,94,Savings,Active,88163.55,2026-01-01
93,223,Savings,Active,48770.11,2022-10-31
94,142,Savings,Active,58740.08,2022-04-25
95,114,Savings,Active,110039.8,2016-03-10
96,104,Savings,Active,32595.76,2019-08-02
97,118,Savings,Dormant,48379.8,2017-04-06
98,339,Savings,Active,95702.48,2020-11-17
99,247,Savings,Active,99739.51,2024-06-07
100,262,Savings,Dormant,39902.42,2017-07-25
101,288,Fixed Deposit,Active,22331.79,2026-05-19
102,445,Salary,Active,39566.61,2016-06-24
103,518,Salary,Active,42510.22,2016-02-15
104,316,Current,Closed,21639.02,2026-02-15
105,386,Current,Active,24485.54,2016-02-23
106,444,Savings,Active,99832.53,2023-05-24
107,415,Fixed Deposit,Active,60678.89,2023-09-19
108,81,Fixed Deposit,Active,34405.81,2018-10-08
109,590,Fixed Deposit,Active,17100.92,2015-09-26
