CARD_TXN_ID,CARD_ID,TXN_DATE,AMOUNT,MERCHANT_CATEGORY,IS_FRAUD
1,690,2024-03-14,4031.7,Dining,0
2,283,2024-02-10,7186.59,Entertainment,0
3,490,2024-10-02,2330.82,Grocery,0
4,217,2024-12-07,4020.32,Travel,0
5,220,2026-01-11,814.8,Online Retail,0
6,580,2024-07-05,1882.26,Dining,0
7,291,2026-02-05,1528.44,Fuel,0
8,372,2025-04-27,628.95,Grocery,0
9,84,2024-03-10,135.77,Grocery,0
10,241,2026-07-18,1949.99,Electronics,0
11,456,2025-07-10,879.18,Dining,1
12,372,2026-04-09,3056.89,Fuel,0
13,212,2024-03-26,3490.28,Healthcare,0
14,21,2025-03-16,9567.86,Grocery,0
15,385,2024-07-01,2911.01,Dining,0
16,245,2025-05-17,564.34,Travel,0
17,646,2026-02-03,5497.88,Entertainment,0
18,31,2026-04-07,2610.95,Entertainment,0
19,479,2026-08-05,243.04,Grocery,1
20,269,2024-09-12,6913.52,Online Retail,0
21,188,2024-09-21,644.92,Fuel,0
22,500,2026-01-17,574.11,Grocery,0
23,361,2026-01-27,999.21,Fuel,0
24,53,2024-11-17,3408.1,Online Retail,0
25,422,2024-11-29,942.35,Fuel,0
26,126,2024-07-09,297.98,Online Retail,0
27,596,2026-02-03,265.42,Fuel,0
28,169,2024-04-18,6587.47,Entertainment,0
29,556,2025-07-10,1047.65,Fuel,0
30,231,2025-01-11,8962.37,Online Retail,0
31,221,2025-06-16,5893.95,Entertainment,0
32,2,2026-06-19,2552.81,Fuel,0
33,644,2026-02-27,3303.27,Travel,0
34,387,2026-05-31,305.33,Online Retail,0
35,104,2025-11-09,1409.35,Online Retail,0
36,25,2025-02-21,3026.67,Healthcare,0
37,194,2026-08-04,2563.6,Electronics,0
38,345,2025-06-30,7473.74,Grocery,0
39,24,2024-12-19,2065.93,Travel,0
40,253,2026-04-14,4746.75,Healthcare,0
41,218,2026-07-20,854.07,Fuel,0
42,612,2025-04-10,3739.31,Grocery,0
43,290,2026-03-17,137.22,Online Retail,0
44,74,2025-04-25,7189.43,Fuel,0
45,169,2025-04-26,4257.11,Entertainment,0
46,579,2025-05-30,2428.38,Dining,0
47,9,2025-05-03,1073.71,Online Retail,0
48,94,2026-05-20,4162.34,Healthcare,0
49,8,2026-05-29,1304.21,Online Retail,1
50,35,2026-02-12,1667.57,Entertainment,0
51,647,2025-07-26,2756.49,Dining,0
52,694,2024-04-20,4964.82,Grocery,0
53,515,2024-11-25,3824.16,Electronics,0
54,65,2024-05-17,8535.16,Electronics,0
55,489,2024-02-10,3563.35,Online Retail,0
56,541,2025-09-08,12010.54,Online Retail,0
57,551,2024-10-19,2842.35,Travel,0
58,523,2024-03-17,89.61,Dining,0
59,486,2024-07-30,5874.17,Healthcare,0
60,310,2024-03-05,8358.54,Travel,0
61,44,2024-05-05,3872.62,Healthcare,0
62,577,2025-04-29,3428.68,Electronics,0
63,649,2025-10-17,2114.32,Grocery,0
64,351,2026-02-07,8839.69,Travel,0
65,301,2025-01-20,652.21,Grocery,0
66,643,2025-12-23,9819.63,Grocery,0
67,318,2024-04-02,3104.9,Dining,0
68,260,2024-05-05,5106.68,Dining,0
69,621,2024-11-14,183.82,Electronics,0
70,649,2025-09-13,1103.54,Electronics,0
71,144,2024-05-16,2300.09,Electronics,0
72,193,2024-01-02,5355.15,Online Retail,0
73,219,2025-08-06,2747.08,Dining,0
74,112,2025-02-01,3195.71,Fuel,0
75,599,2025-02-20,2809.87,Healthcare,0
76,682,2025-02-14,567.9,Healthcare,0
77,364,2026-06-29,2722.92,Electronics,0
78,498,2024-04-22,1669.71,Fuel,0
79,295,2025-08-16,2146.07,Entertainment,0
80,697,2026-01-17,325.11,Dining,0
81,669,2026-01-16,5459.54,Fuel,0
82,525,2024-03-24,1978.43,Entertainment,0
83,623,2024-11-22,7827.0,Healthcare,0
84,95,2026-07-25,3283.95,Travel,0
85,622,2026-01-05,6139.1,Electronics,0
86,299,2026-06-18,3278.7,Online Retail,0
87,149,2025-12-17,3618.97,Electronics,0
88,652,2024-03-08,8170.13,Travel,1
89,591,2026-08-24,708.36,Travel,0
90,95,2026-03-25,5830.22,Electronics,0
91,460,2025-10-06,1826.73,Entertainment,0
92,618,2024-01-01,234.51,Healthcare,0
93,485,2026-06-12,1771.08,Healthcare,0
94,338,2026-05-18,4217.62,Travel,0
95,34,2026-04-25,975.35,Travel,0
96,348,2024-10-18,777.01,Dining,0
97,390,2026-06-14,2448.48,Dining,0
98,590,2024-01-08,1280.39,Travel,0
99,153,2025-07-12,2443.48,Dining,0
100,145,2026-01-19,4074.68,Online Retail,0
101,649,2024-08-06,2057.94,Travel,0
102,587,2026-08-01,2378.52,Healthcare,0
103,394,2025-07-24,3569.94,Entertainment,0
104,313,2024-06-08,9243.19,Fuel,0
105,433,2026-06-17,1673.94,Online Retail,0
106,107,2024-05-03,3347.45,Fuel,0
107,171,2026-08-06,2396.79,Dining,0
108,380,2026-08-12,715.58,Grocery,0
109,295,2026-07-11,4689.8,Grocery,0
110,125,2024-11-10,7467.36,Dining,0
111,371,2025-03-06,4079.48,Grocery,0
112,458,2026-01-08,89.68,Travel,0
113,569,2026-02-23,1779.8,Fuel,0
114,441,2024-07-22,4066.65,Grocery,0
115,429,2025-04-21,5877.06,Healthcare,0
116,390,2025-01-09,344.93,Fuel,0
117,80,2025-11-05,689.92,Fuel,0
118,270,2026-01-23,3448.23,Electronics,0
119,316,2025-02-24,2724.41,Healthcare,0
120,367,2026-05-19,2451.29,Fuel,0
121,207,2024-10-22,8848.08,Healthcare,0
122,521,2026-01-07,9525.54,Grocery,0
123,378,2025-03-06,901.83,Healthcare,0
124,214,2024-04-13,214.78,Fuel,0
125,329,2024-10-26,2293.04,Fuel,0
126,497,2026-03-28,4607.4,Grocery,0
127,16,2025-02-16,6339.84,Healthcare,0
128,239,2026-02-07,1702.75,Grocery,0
129,146,2025-10-22,1166.68,Travel,0
130,226,2025-02-06,3628.44,Travel,0
131,463,2024-07-14,1984.58,Electronics,0
132,150,2025-12-05,2595.36,Entertainment,0
133,382,2025-10-21,4099.61,Healthcare,0
134,265,2024-11-01,2116.43,Fuel,0
135,38,2024-03-12,442.44,Travel,0
136,620,2025-01-14,1203.76,Healthcare,0
137,419,2024-01-02,1275.15,Electronics,0
138,209,2026-01-23,1289.91,Travel,0
139,353,2024-08-15,154.67,Fuel,0
140,691,2025-01-18,10665.42,Fuel,0
141,106,2024-07-16,682.18,Fuel,0
142,597,2026-06-10,4835.05,Electronics,0
143,2,2026-03-23,1004.67,Grocery,0
144,605,2026-06-30,1685.67,Dining,0
145,235,2026-01-07,2530.18,Fuel,0
146,208,2024-04-30,1368.17,Grocery,0
147,546,2025-10-11,8196.45,Electronics,0
148,115,2025-03-20,23083.62,Dining,0
149,94,2025-11-19,6012.67,Electronics,0
150,327,2025-11-05,2933.06,Entertainment,0
151,662,2025-10-08,1781.56,Entertainment,0
152,232,2025-09-03,5202.88,Fuel,0
153,380,2026-03-16,6471.48,Travel,1
154,279,2026-04-28,2287.57,Entertainment,0
155,531,2025-06-04,7412.01,Dining,0
156,630,2024-01-02,118.12,Fuel,0
157,684,2024-01-18,4582.13,Electronics,0
158,189,2024-02-03,2602.52,Travel,0
159,184,2026-04-21,3102.61,Entertainment,0
160,648,2025-03-20,5903.47,Fuel,0
161,409,2025-04-03,4175.81,Grocery,0
162,230,2024-10-03,10880.28,Dining,0
163,239,2026-06-24,12354.68,Grocery,0
164,124,2024-08-21,2101.37,Dining,0
165,60,2026-05-20,562.29,Dining,0
166,243,2025-10-15,2477.0,Fuel,0
167,556,2025-01-24,897.95,Grocery,0
168,462,2025-10-07,1594.3,Electronics,0
169,9,2026-06-28,2842.3,Electronics,1
170,32,2024-03-05,3976.43,Healthcare,0
171,609,2024-02-27,2297.17,Travel,0
172,556,2024-06-16,1117.16,Online Retail,0
173,557,2025-10-07,38.31,Dining,0
174,604,2025-05-26,5743.9,Travel,0
175,447,2025-10-26,6508.84,Entertainment,0
176,237,2025-01-29,5953.17,Fuel,0
177,414,2026-03-30,890.07,Dining,0
178,450,2025-04-01,3655.91,Grocery,0
179,592,2025-04-04,6715.24,Healthcare,0
180,373,2025-04-14,3354.47,Fuel,0
181,39,2024-08-22,3088.49,Entertainment,0
182,436,2026-08-09,9804.19,Healthcare,0
183,516,2024-02-13,1595.15,Healthcare,0
184,662,2024-01-25,1311.77,Healthcare,0
185,127,2025-03-31,1022.85,Healthcare,0
186,603,2025-11-02,171.51,Healthcare,0
187,15,2025-03-17,8177.14,Healthcare,0
188,512,2026-02-10,3308.37,Online Retail,0
189,219,2024-12-13,1630.8,Grocery,0
190,83,2024-08-14,2749.38,Travel,0
191,230,2025-09-12,8775.01,Electronics,0
192,387,2024-08-26,369.42,Entertainment,0
193,135,2025-06-02,7950.58,Travel,0
194,386,2025-09-13,2511.02,Travel,0
195,498,2024-04-22,3882.8,Online Retail,0
196,614,2024-08-10,4087.33,Grocery,0
197,392,2024-02-16,9183.48,Dining,0
198,422,2024-07-25,960.64,Fuel,0
199,645,2026-05-18,513.12,Fuel,0
200,25,2024-01-13,1198.08,Grocery,0
201,534,2025-12-24,4697.11,Healthcare,0
202,685,2024-06-21,8317.43,Dining,0
203,579,2025-03-27,1019.73,Grocery,0
204,646,2024-01-08,418.57,Grocery,0
205,632,2025-04-28,8684.12,Healthcare,0
206,413,2026-06-28,1678.04,Entertainment,0
207,565,2024-04-21,1811.81,Fuel,0
208,255,2024-10-30,2908.93,Online Retail,0
209,83,2024-09-13,2384.5,Fuel,0
210,60,2025-11-16,4831.7,Fuel,0
211,130,2026-03-15,552.43,Travel,0
212,507,2024-09-21,341.56,Electronics,0
213,282,2024-05-03,3834.42,Electronics,0
214,568,2026-05-16,4035.71,Grocery,0
215,233,2024-04-11,4815.63,Fuel,0
216,554,2026-04-16,4584.68,Online Retail,0
217,620,2025-06-28,352.28,Healthcare,0
218,229,2026-02-01,4519.67,Entertainment,1
219,367,2026-03-30,4348.92,Healthcare,0
220,376,2025-11-05,455.29,Online Retail,0
221,614,2025-01-04,6486.61,Healthcare,0
222,263,2024-11-11,978.06,Fuel,0
223,272,2025-09-21,834.26,Travel,0
224,543,2025-05-18,4922.22,Dining,0
225,635,2026-05-29,626.9,Online Retail,0
226,20,2026-01-14,2054.59,Fuel,0
227,51,2026-05-18,1735.93,Fuel,0
228,654,2025-01-22,1417.01,Healthcare,0
229,312,2025-04-01,1076.68,Grocery,0
230,392,2026-05-09,12673.52,Online Retail,0
231,631,2024-10-15,4672.22,Fuel,0
