CARD_ID,CUSTOMER_ID,CARD_TYPE,CREDIT_LIMIT,ISSUE_DATE,EXPIRY_DATE
1,80,Prepaid,300000,2022-09-17,2026-09-27
2,320,Credit,200000,2024-05-19,2029-05-17
3,518,Debit,200000,2020-07-16,2028-05-10
4,279,Credit,200000,2022-05-11,2028-09-28
5,1,Prepaid,50000,2018-02-20,2028-10-11
6,138,Credit,50000,2024-03-13,2029-06-08
7,34,Debit,200000,2018-06-01,2026-02-18
8,301,Debit,100000,2021-10-16,2029-12-20
9,219,Credit,200000,2020-06-18,2026-03-05
10,80,Debit,50000,2018-04-02,2029-12-31
11,413,Debit,300000,2021-03-28,2027-01-18
12,106,Debit,50000,2024-07-21,2029-05-21
13,206,Credit,300000,2019-03-03,2026-05-03
14,593,Debit,500000,2020-01-18,2027-11-05
15,40,Credit,100000,2019-04-30,2028-03-03
16,149,Credit,50000,2018-11-16,2029-10-27
17,191,Prepaid,50000,2019-08-12,2026-06-30
18,306,Credit,100000,2022-01-02,2026-02-23
19,147,Debit,50000,2023-06-20,2028-08-05
20,583,Credit,500000,2022-11-01,2026-03-13
21,4,Debit,500000,2023-05-27,2029-02-10
22,569,Prepaid,500000,2023-01-05,2026-02-26
23,321,Debit,500000,2020-09-06,2029-11-19
24,23,Credit,200000,2024-04-21,2028-02-18
25,70,Credit,100000,2019-03-17,2029-10-18
26,62,Debit,200000,2022-11-26,2026-07-05
27,173,Credit,100000,2018-10-11,2027-02-04
28,200,Debit,500000,2023-05-13,2027-10-28
29,385,Debit,200000,2018-08-11,2026-02-12
30,187,Debit,100000,2019-07-07,2026-05-31
31,436,Debit,300000,2020-09-27,2027-04-27
32,177,Credit,100000,2022-11-12,2028-12-13
33,159,Prepaid,100000,2018-04-27,2028-11-01
34,166,Debit,100000,2019-10-21,2026-05-07
35,198,Credit,50000,2020-05-03,2026-03-29
36,503,Credit,50000,2023-02-13,2028-08-17
37,149,Credit,200000,2024-09-25,2027-06-10
38,164,Debit,500000,2022-04-21,2029-03-04
39,575,Prepaid,100000,2021-07-22,2027-03-12
40,393,Debit,300000,2020-05-10,2027-06-15
41,115,Credit,100000,2023-10-06,2026-11-17
42,521,Credit,100000,2018-10-02,2027-01-25
43,110,Credit,50000,2018-11-27,2028-10-29
44,98,Debit,200000,2019-05-30,2027-11-20
45,268,Debit,300000,2019-11-17,2028-08-21
46,415,Credit,100000,2021-03-26,2026-04-25
47,114,Debit,200000,2024-08-18,2028-02-22
48,452,Debit,200000,2022-07-22,2027-11-02
49,95,Credit,100000,2020-09-08,2029-08-24
50,470,Credit,300000,2019-06-26,2027-09-12
51,58,Debit,200000,2022-07-17,2026-05-31
52,279,Debit,50000,2019-10-10,2028-10-16
53,385,Prepaid,200000,2024-11-01,2026-08-07
54,160,Debit,100000,2021-05-07,2029-08-22
55,368,Debit,300000,2021-11-09,2027-07-15
56,414,Debit,100000,2024-04-30,2029-02-20
57,391,Debit,500000,2020-02-21,2028-08-16
58,239,Prepaid,300000,2021-04-21,2027-11-11
59,464,Debit,50000,2021-09-22,2028-05-03
60,439,Debit,200000,2019-11-25,2026-09-25
61,196,Credit,500000,2018-05-20,2026-04-19
62,441,Debit,100000,2019-12-27,2029-01-25
63,552,Debit,300000,2018-10-15,2029-11-02
64,491,Prepaid,300000,2022-09-25,2029-06-14
65,440,Credit,300000,2018-01-19,2027-03-23
66,460,Debit,50000,2020-03-20,2027-06-08
67,483,Debit,100000,2024-03-11,2027-06-09
68,174,Debit,100000,2021-12-25,2028-10-24
69,433,Debit,100000,2022-09-14,2028-06-30
70,120,Credit,500000,2022-09-07,2029-03-10
71,216,Credit,50000,2020-02-03,2029-10-13
72,561,Credit,200000,2022-06-06,2027-07-28
73,170,Credit,500000,2019-07-20,2028-08-26
74,507,Debit,500000,2022-06-14,2028-01-02
75,254,Prepaid,300000,2022-10-14,2029-10-27
76,126,Credit,500000,2024-02-20,2027-06-02
77,59,Debit,200000,2024-06-10,2026-10-02
78,329,Credit,300000,2018-03-03,2027-07-08
79,271,Debit,200000,2020-02-05,2028-06-23
80,307,Credit,50000,2021-10-31,2029-10-25
81,26,Credit,50000,2020-04-02,2029-04-26
82,161,Debit,500000,2022-05-02,2026-01-27
83,3,Credit,50000,2023-12-26,2028-01-15
84,182,Debit,100000,2019-10-23,2026-08-21
85,559,Credit,300000,2024-04-04,2027-06-14
86,92,Debit,200000,2024-03-06,2029-10-12
87,414,Debit,200000,2024-05-27,2029-12-10
88,4,Debit,500000,2018-07-08,2026-08-13
89,338,Credit,300000,2020-01-20,2026-07-26
90,553,Debit,500000,2018-11-14,2028-10-15
91,205,Credit,300000,2018-11-04,2027-08-24
92,119,Debit,500000,2018-05-16,2027-09-25
93,343,Debit,300000,2021-01-30,2029-06-30
94,168,Debit,200000,2018-08-12,2029-09-07
95,535,Debit,500000,2020-01-27,2029-08-09
96,510,Prepaid,500000,2024-11-15,2029-02-18
97,392,Debit,50000,2024-03-10,2029-12-04
98,384,Credit,500000,2024-07-25,2028-11-18
99,362,Credit,300000,2018-04-04,2029-07-17
100,442,Credit,500000,2022-08-18,2028-03-01
101,277,Credit,300000,2022-06-10,2026-03-16
102,582,Credit,500000,2018-12-06,2029-04-08
103,208,Credit,100000,2024-05-07,2029-09-21
104,6,Credit,50000,2020-10-31,2027-04-02
105,420,Credit,50000,2024-11-03,2027-09-18
106,398,Credit,100000,2018-10-19,2028-04-16
107,589,Debit,100000,2022-07-22,2028-08-10
108,238,Credit,200000,2018-12-01,2028-09-13
109,255,Debit,50000,2024-08-26,2027-07-31
110,338,Credit,50000,2022-04-04,2029-06-03
111,236,Prepaid,200000,2018-07-13,2029-04-04
112,471,Prepaid,300000,2019-07-04,2029-10-09
113,257,Credit,50000,2020-07-08,2028-04-21
114,471,Credit,200000,2018-02-02,2026-04-24
115,256,Credit,300000,2018-01-23,2029-05-21
116,136,Debit,300000,2024-06-25,2026-04-27
117,595,Debit,50000,2024-11-14,2026-10-11
118,316,Debit,300000,2021-10-03,2027-02-21
119,425,Debit,50000,2024-04-28,2026-09-28
120,355,Prepaid,100000,2022-08-04,2028-11-24
121,216,Credit,100000,2018-03-13,2027-10-06
122,584,Credit,500000,2023-01-02,2026-11-17
123,223,Debit,50000,2018-02-16,2026-01-07
124,596,Credit,300000,2023-09-20,2026-11-13
125,259,Debit,500000,2020-07-27,2028-10-09
126,14,Credit,500000,2018-12-28,2029-03-07
127,23,Prepaid,100000,2019-10-24,2027-03-09
128,585,Debit,50000,2022-10-15,2026-04-18
129,317,Debit,100000,2023-12-07,2028-03-25
130,233,Debit,300000,2021-12-30,2029-02-18
131,487,Debit,50000,2019-02-15,2026-04-13
132,371,Debit,300000,2024-04-21,2029-03-09
133,397,Debit,100000,2023-07-16,2026-09-07
134,412,Debit,300000,2020-11-14,2027-01-13
135,120,Debit,300000,2021-11-19,2028-06-29
136,53,Debit,200000,2024-10-01,2026-03-17
137,437,Credit,300000,2020-08-23,2027-03-23
138,14,Debit,500000,2018-03-07,2026-07-23
139,432,Credit,100000,2019-01-08,2026-11-10
140,78,Debit,200000,2022-03-16,2029-02-04
141,158,Debit,300000,2024-12-27,2026-12-01
142,425,Debit,500000,2023-03-08,2026-03-05
143,374,Credit,200000,2022-04-30,2026-11-11
144,469,Debit,100000,2020-04-06,2026-05-07
145,367,Credit,500000,2021-01-28,2028-06-29
146,29,Debit,500000,2018-04-09,2029-11-23
147,504,Prepaid,200000,2020-08-07,2026-09-03
148,130,Debit,50000,2022-05-14,2028-12-01
149,82,Debit,100000,2024-05-05,2027-06-15
150,528,Credit,200000,2024-06-17,2026-04-16
151,117,Debit,300000,2023-10-02,2028-10-02
152,322,Debit,300000,2018-02-24,2026-11-03
153,292,Credit,500000,2023-09-07,2028-01-21
154,462,Debit,50000,2019-07-14,2028-01-12
155,27,Debit,200000,2022-04-26,2028-05-23
156,65,Debit,300000,2024-08-17,2026-07-17
157,250,Debit,500000,2024-03-21,2027-01-02
158,284,Prepaid,50000,2022-08-27,2028-12-14
159,473,Credit,500000,2020-02-05,2029-09-25
160,364,Credit,50000,2021-08-25,2026-01-18
161,90,Debit,50000,2022-12-06,2027-08-29
162,588,Credit,500000,2021-08-08,2029-07-12
163,276,Credit,300000,2020-10-31,2027-02-24
164,579,Debit,500000,2020-10-27,2027-10-17
165,594,Credit,300000,2022-03-15,2029-08-15
166,32,Credit,300000,2018-04-02,2029-11-17
167,304,Credit,200000,2024-12-28,2028-08-16
168,254,Debit,200000,2018-09-19,2028-10-11
169,299,Debit,200000,2024-11-23,2028-06-16
170,186,Credit,100000,2018-04-01,2027-02-19
171,336,Credit,500000,2021-08-04,2029-07-20
172,296,Debit,100000,2020-12-04,2026-02-19
173,112,Debit,300000,2022-01-07,2026-03-27
174,174,Credit,300000,2021-01-14,2028-05-29
175,89,Debit,200000,2024-04-14,2029-05-09
176,507,Debit,300000,2018-02-12,2029-04-05
177,407,Credit,50000,2024-11-26,2028-09-18
178,233,Debit,100000,2022-10-30,2027-07-05
179,238,Debit,200000,2023-06-15,2027-06-11
180,48,Debit,100000,2018-12-24,2027-09-15
181,174,Prepaid,500000,2018-06-16,2027-01-10
182,555,Debit,500000,2020-10-12,2027-09-05
183,19,Credit,300000,2020-04-05,2026-06-03
184,88,Prepaid,100000,2023-06-26,2027-04-13
185,508,Credit,50000,2024-04-12,2029-10-07
