CUSTOMER_ID,JOIN_DATE,DATE_OF_BIRTH,ANNUAL_INCOME,CREDIT_SCORE
1,2018-06-21,1988-07-25,79696.0,899
2,2021-11-18,1991-07-13,61780.0,766
3,2015-05-09,1971-09-07,68118.0,663
4,2018-12-20,1991-12-01,99472.0,675
5,2019-12-27,1999-12-03,30781.0,672
6,2026-03-22,1995-11-10,79395.0,820
7,2017-06-13,1993-02-16,60160.0,753
8,2018-02-27,1986-09-23,184225.0,651
9,2019-08-31,1968-07-12,67031.0,870
10,2026-05-02,1994-10-06,168374.0,820
11,2024-09-28,1973-03-18,42114.0,873
12,2015-05-25,1981-08-12,98089.0,792
13,2017-09-02,1970-09-21,85794.0,656
14,2024-05-19,1970-08-26,47357.0,809
15,2015-09-01,1962-11-18,79913.0,631
16,2024-10-08,2003-01-26,134089.0,608
17,2018-03-19,1962-05-23,62200.0,680
18,2025-06-23,1959-04-25,31383.0,887
19,2018-05-09,2001-10-23,72491.0,727
20,2019-12-17,1982-10-02,46574.0,653
21,2022-07-23,1976-11-23,61625.0,684
22,2016-06-10,1991-11-17,70207.0,616
23,2021-05-11,1974-03-02,31169.0,763
24,2020-10-06,1961-05-25,32603.0,640
25,2023-12-13,1991-06-27,93063.0,721
26,2026-05-16,1963-10-20,56311.0,647
27,2022-08-02,1982-08-26,20285.0,628
28,2019-09-03,2002-06-16,108274.0,888
29,2019-08-22,2001-10-23,83800.0,638
30,2019-10-09,1973-01-15,51178.0,528
31,2024-04-17,1994-01-07,37858.0,651
32,2018-09-01,1985-08-20,111069.0,712
33,2016-11-27,1978-12-21,87088.0,537
34,2018-10-25,1961-12-30,240699.0,622
35,2015-04-05,1973-10-26,90228.0,566
36,2016-03-18,1987-08-07,88774.0,700
37,2016-01-11,2004-05-02,67274.0,789
38,2023-10-23,1955-03-31,110017.0,887
39,2023-04-01,1990-11-22,99962.0,655
40,2022-12-15,1997-04-27,136744.0,845
41,2020-04-10,2002-07-25,56350.0,585
42,2023-03-10,1976-03-11,58823.0,812
43,2016-11-03,1960-12-03,57552.0,725
44,2025-04-13,1968-07-19,108597.0,803
45,2020-09-20,1997-07-13,154691.0,802
46,2025-09-16,1998-11-25,58138.0,712
47,2016-09-27,1986-11-09,59137.0,602
48,2020-09-04,1961-02-19,85566.0,710
49,2022-12-13,1961-02-04,64674.0,830
50,2020-08-28,1978-11-29,117716.0,888
51,2020-02-04,1984-05-31,23721.0,871
52,2016-11-24,1956-08-14,48371.0,572
53,2019-05-08,1989-04-22,49454.0,738
54,2017-09-22,1982-03-24,22921.0,541
55,2018-06-11,1955-08-13,45170.0,767
56,2022-10-22,1959-10-14,46278.0,896
57,2022-03-13,1977-09-19,66135.0,521
58,2021-12-07,1991-02-18,127578.0,762
59,2019-02-17,1996-04-10,64697.0,878
60,2025-12-15,1976-07-26,43678.0,838
61,2016-01-01,1969-10-08,71077.0,656
62,2018-11-29,2003-06-03,123573.0,541
63,2016-05-07,1977-12-05,44892.0,869
64,2018-11-14,1970-10-09,46384.0,868
65,2025-12-25,1977-02-12,96691.0,731
66,2019-03-08,1955-08-09,65462.0,891
67,2025-05-16,1970-02-05,101088.0,501
68,2020-08-26,1980-10-12,72633.0,746
69,2022-12-27,2000-12-04,103863.0,515
70,2020-03-22,1991-11-30,43585.0,874
71,2018-01-13,1994-01-25,72690.0,772
72,2023-09-22,1982-04-01,65818.0,865
73,2026-01-24,1960-07-12,39817.0,725
74,2018-01-03,1974-07-19,33465.0,533
75,2023-11-22,2004-11-08,103040.0,510
76,2017-12-24,1957-03-17,61361.0,634
77,2023-03-09,1998-12-18,43864.0,797
78,2024-01-04,1989-03-24,69697.0,560
79,2020-02-17,1969-03-13,128542.0,840
80,2023-05-31,1993-11-26,23380.0,595
81,2018-02-09,1996-11-06,34602.0,698
