EMPLOYEE_ID,BRANCH_ID,HIRE_DATE
1,12,2020-03-26
2,8,2018-08-20
3,2,2017-06-30
4,13,2021-03-18
5,7,2022-05-15
6,8,2025-05-07
7,6,2019-10-23
8,3,2016-10-07
9,14,2024-02-29
10,12,2021-12-06
11,10,2022-09-15
12,7,2016-01-26
13,13,2018-06-09
14,9,2023-06-13
15,7,2024-02-27
16,7,2019-10-16
17,4,2023-11-09
18,2,2024-04-05
19,9,2019-04-07
20,14,2024-11-18
21,1,2018-03-04
22,13,2017-08-20
23,13,2022-07-05
24,5,2022-01-03
25,10,2016-07-15
26,3,2024-02-29
27,12,2017-03-14
28,11,2023-11-09
29,6,2015-01-30
30,2,2023-10-08
31,15,2023-08-29
32,7,2023-08-03
33,14,2022-04-26
34,11,2020-03-10
35,12,2022-10-05
36,12,2018-01-18
37,3,2023-08-04
38,6,2021-02-11
39,8,2020-01-19
40,8,2020-07-25
41,1,2021-04-04
42,9,2015-05-30
43,3,2016-07-15
44,12,2017-09-13
45,11,2016-04-05
46,14,2019-11-02
47,12,2022-05-10
48,6,2022-03-15
49,15,2020-03-08
50,7,2024-05-29
51,5,2021-03-21
52,14,2015-11-15
53,6,2023-06-02
54,2,2021-04-28
55,8,2021-12-25
56,12,2021-03-22
57,3,2021-02-02
58,7,2015-12-30
59,2,2021-02-25
60,11,2023-09-30
