LOAN_ID,CUSTOMER_ID,BRANCH_ID,LOAN_TYPE,LOAN_AMOUNT,INTEREST_RATE,START_DATE,STATUS
1,345,12,Personal,440037.0,8.86,2019-04-21,Active
2,75,9,Home,717264.0,12.27,2019-06-23,Closed
3,249,6,Personal,600372.0,11.09,2021-01-06,Active
4,475,5,Auto,696622.0,13.95,2024-05-26,Active
5,488,2,Business,1359653.0,12.0,2025-12-13,Defaulted
6,570,5,Auto,574357.0,9.51,2021-02-20,Closed
7,187,7,Home,244273.0,13.79,2019-05-31,Closed
8,570,7,Education,412586.0,11.66,2018-01-15,Active
9,471,9,Education,575348.0,8.6,2018-08-13,Defaulted
10,204,5,Personal,764574.0,12.07,2023-02-05,Active
11,197,4,Personal,349953.0,15.53,2022-09-20,Active
12,65,14,Auto,383418.0,13.35,2023-02-24,Active
13,553,7,Personal,784938.0,9.69,2018-03-12,Defaulted
14,122,4,Home,804712.0,13.4,2021-07-01,Active
15,161,10,Home,1232409.0,9.54,2019-06-12,Closed
16,248,9,Business,408352.0,11.88,2020-09-10,Closed
17,83,9,Personal,959185.0,11.74,2022-12-24,Closed
18,484,4,Home,601231.0,9.23,2020-03-16,Closed
19,419,11,Home,457668.0,10.13,2023-04-12,Defaulted
20,94,3,Business,616290.0,15.48,2020-04-25,Active
21,98,13,Home,682315.0,9.26,2022-01-31,Active
22,14,7,Auto,220175.0,14.21,2021-09-03,Closed
23,570,7,Home,236981.0,13.01,2021-01-26,Active
24,262,6,Home,1051656.0,11.79,2019-01-04,Active
25,394,7,Auto,494059.0,8.24,2022-08-12,Closed
26,90,10,Business,768607.0,8.84,2025-12-04,Active
27,139,8,Auto,1030259.0,8.61,2023-02-24,Closed
28,325,2,Personal,619071.0,12.28,2023-12-20,Active
29,126,9,Personal,971469.0,15.76,2024-06-06,Defaulted
30,368,5,Personal,685537.0,14.9,2018-04-22,Active
31,555,2,Personal,709336.0,7.23,2024-05-06,Closed
32,184,13,Personal,1434412.0,9.46,2019-12-10,Defaulted
33,365,5,Personal,569537.0,8.42,2023-04-28,Active
34,550,9,Personal,1059976.0,15.78,2025-11-15,Active
35,537,3,Education,183580.0,9.12,2025-02-26,Active
36,5,6,Personal,748766.0,8.81,2021-04-26,Active
37,67,6,Education,1679261.0,12.59,2024-09-15,Active
38,592,3,Home,2673728.0,12.01,2022-12-14,Active
39,556,15,Personal,193152.0,9.03,2019-01-25,Defaulted
40,194,5,Personal,492112.0,13.03,2019-12-03,Active
41,313,9,Auto,287393.0,7.87,2025-08-28,Active
42,344,9,Business,586916.0,7.17,2025-04-29,Active
43,402,7,Auto,1179596.0,7.74,2025-02-19,Active
44,451,9,Home,1468748.0,10.28,2021-01-28,Active
45,224,9,Business,1500414.0,15.78,2020-07-27,Written Off
46,534,2,Home,176011.0,11.93,2024-06-13,Closed
47,36,11,Auto,671435.0,13.79,2018-02-28,Active
48,20,2,Auto,401560.0,9.89,2025-03-08,Closed
49,575,7,Business,561222.0,13.47,2022-11-01,Active
