PAYMENT_ID,LOAN_ID,PAYMENT_DATE,LATE_PAYMENT_FLAG
1,72,2021-07-04,1
2,95,2026-03-17,0
3,183,2021-12-01,0
4,257,2018-02-15,0
5,64,2025-07-10,0
6,85,2025-06-28,0
7,15,2026-05-05,0
8,113,2019-01-28,0
9,14,2025-04-26,0
10,224,2020-12-17,0
11,27,2025-04-18,1
12,208,2026-05-09,0
13,174,2019-09-23,0
14,297,2021-03-21,0
15,105,2020-04-30,0
16,104,2020-08-22,1
17,73,2023-03-03,0
18,162,2021-07-29,0
19,66,2023-09-09,0
20,35,2023-11-06,0
21,285,2019-10-04,0
22,204,2018-05-20,0
23,36,2024-06-20,0
24,186,2019-07-29,0
25,92,2019-09-26,0
26,55,2023-03-19,0
27,142,2020-04-12,1
28,237,2019-08-24,0
29,1,2020-08-29,1
30,107,2022-07-13,0
31,277,2025-05-02,0
32,119,2026-07-28,0
33,30,2024-05-06,0
34,129,2025-10-16,0
35,205,2022-08-08,0
36,299,2021-07-16,1
37,189,2025-02-08,0
38,16,2020-08-15,0
39,243,2025-01-17,0
40,235,2026-08-27,0
41,196,2021-05-19,0
42,269,2023-06-29,0
43,231,2024-10-10,0
44,70,2024-10-16,0
45,127,2019-10-15,0
46,153,2026-05-06,0
47,147,2022-05-13,0
48,192,2018-05-13,0
49,211,2019-01-10,0
50,32,2024-04-22,0
51,171,2021-09-13,0
52,12,2018-12-08,0
53,154,2022-07-06,0
54,127,2023-03-14,0
55,62,2018-09-11,0
56,298,2021-01-13,0
57,78,2022-01-04,0
58,17,2024-10-06,0
59,108,2023-08-26,0
60,228,2018-10-03,0
61,3,2023-04-29,0
62,148,2025-10-28,1
63,126,2018-06-22,0
64,260,2026-07-21,0
65,1,2018-10-29,1
66,6,2023-05-26,1
67,170,2021-01-17,0
68,54,2024-05-02,1
69,212,2025-04-21,0
70,84,2025-05-20,0
71,169,2025-07-16,0
72,12,2025-01-28,0
73,209,2020-09-07,0
74,156,2022-01-13,0
75,1,2024-03-26,0
76,80,2019-06-18,0
77,18,2023-01-03,0
78,14,2022-08-06,0
79,210,2026-07-11,1
80,129,2018-06-07,0
81,241,2018-10-27,0
82,78,2018-04-06,0
83,216,2022-10-01,0
84,185,2022-10-10,0
85,199,2023-02-19,0
86,249,2020-02-06,0
87,213,2020-09-01,0
88,224,2021-08-12,0
89,222,2018-05-29,0
90,135,2024-07-10,0
91,218,2018-06-14,0
92,253,2023-10-13,1
93,222,2021-12-07,0
94,183,2026-08-29,0
