TICKET_ID,CUSTOMER_ID,ISSUE_TYPE,STATUS,DATE_OPENED,DATE_RESOLVED
1,335,Loan Query,Closed,2024-01-20,2024-01-23
2,510,Fraud Report,Resolved,2026-01-17,2026-01-22
3,442,General Inquiry,Resolved,2026-07-27,2026-07-30
4,242,Card Issue,Resolved,2024-12-01,2024-12-03
5,5,General Inquiry,Closed,2025-08-03,2025-08-20
6,542,Billing Dispute,In Progress,2026-07-30,
7,71,Card Issue,Closed,2025-12-23,2026-01-02
8,492,Loan Query,Closed,2026-01-28,2026-02-11
9,26,Account Access,Closed,2025-09-11,2025-09-21
10,418,Fraud Report,In Progress,2024-11-17,
11,488,Account Access,Escalated,2024-08-08,
12,142,Card Issue,Resolved,2024-03-20,2024-04-07
13,90,Fraud Report,Resolved,2025-10-01,2025-10-19
14,414,Account Access,Escalated,2024-09-03,
15,552,Account Access,Resolved,2025-09-23,2025-09-30
16,145,Billing Dispute,Escalated,2025-11-27,
17,361,General Inquiry,In Progress,2026-05-21,
18,598,Card Issue,In Progress,2026-03-16,
19,598,Account Access,Resolved,2024-12-06,2024-12-07
20,384,Card Issue,Closed,2024-02-19,2024-02-21
21,435,Account Access,Closed,2025-08-28,2025-09-07
22,285,Card Issue,Resolved,2025-11-27,2025-12-12
23,53,Card Issue,Closed,2025-01-10,2025-01-11
24,372,Billing Dispute,Open,2025-10-05,
25,293,Card Issue,Closed,2024-06-16,2024-06-24
26,145,Loan Query,Open,2024-06-13,
27,104,General Inquiry,Closed,2026-01-05,2026-01-22
28,504,Card Issue,Resolved,2024-05-27,2024-06-02
29,49,Loan Query,Resolved,2025-03-21,2025-03-21
30,452,Card Issue,Closed,2024-09-10,2024-09-16
31,359,Card Issue,Closed,2025-01-23,2025-01-30
32,118,Card Issue,Resolved,2024-03-02,2024-03-03
33,215,Card Issue,Escalated,2025-03-16,
34,59,Card Issue,Closed,2026-05-24,2026-05-27
35,272,Account Access,Escalated,2026-05-21,
36,359,Loan Query,Escalated,2025-03-11,
37,271,Fraud Report,Escalated,2025-08-02,
38,332,Fraud Report,Closed,2024-03-31,2024-04-09
39,66,Billing Dispute,Open,2024-08-02,
40,258,Billing Dispute,Resolved,2025-07-11,2025-07-13
41,4,General Inquiry,Closed,2025-02-12,2025-02-21
42,456,Fraud Report,Resolved,2024-10-17,2024-10-21
43,552,Loan Query,In Progress,2024-04-06,
44,17,Fraud Report,Resolved,2024-10-31,2024-10-31
45,212,Account Access,Resolved,2024-10-28,2024-11-13
