TRANSACTION_ID,ACCOUNT_ID,TXN_DATE,AMOUNT
1,418,2024-05-15,2056.75
2,19,2026-02-17,15749.75
3,666,2026-01-01,2748.03
4,432,2025-08-02,3845.8
5,423,2026-05-09,8801.33
6,786,2026-02-11,2869.76
7,43,2026-05-27,4725.86
8,850,2024-09-10,58.63
9,26,2024-04-23,3033.87
10,327,2024-11-29,6404.25
11,125,2026-03-20,749.42
12,471,2026-06-20,9965.6
13,537,2024-04-17,4470.13
14,578,2026-04-14,1833.54
15,719,2025-04-11,3465.0
16,676,2026-03-08,4735.57
17,854,2025-10-27,1538.71
18,405,2024-02-28,3914.14
19,158,2025-04-17,1805.67
20,141,2024-03-27,1021.96
21,248,2024-11-27,12396.44
22,543,2026-01-08,1769.92
23,49,2025-10-28,1445.48
24,860,2025-11-18,6324.94
25,891,2025-10-06,2549.79
26,149,2024-01-15,1633.0
27,703,2025-07-22,6470.35
28,537,2025-04-17,3370.56
29,433,2025-05-30,7176.31
30,662,2024-07-26,10236.39
31,519,2025-11-19,2487.39
32,292,2025-08-15,6044.1
33,506,2025-01-27,10600.9
34,123,2024-02-25,12786.72
35,229,2024-03-08,2002.47
36,876,2024-12-16,8014.07
37,167,2025-06-08,197.45
38,539,2026-08-29,4417.14
39,268,2025-12-06,750.54
40,419,2025-04-18,2487.96
41,223,2024-10-18,17106.1
42,512,2024-06-13,7290.75
43,502,2024-05-17,774.61
44,556,2024-03-11,1126.66
45,278,2026-06-08,8644.47
46,521,2024-01-16,8425.85
47,657,2026-04-22,8777.51
48,648,2025-07-22,4399.04
49,512,2025-08-25,7264.61
50,270,2026-07-23,2603.96
51,480,2026-02-05,2493.06
52,484,2024-05-23,4188.98
53,857,2026-08-02,1602.28
54,340,2024-06-20,1332.44
55,291,2025-07-09,5734.98
56,675,2025-09-16,6157.92
57,572,2024-08-26,1369.6
58,385,2025-09-06,2015.03
59,1,2025-09-14,5082.8
60,635,2026-08-13,4730.43
61,664,2026-06-10,4403.51
62,838,2025-01-24,1446.19
63,453,2025-11-03,18804.06
64,464,2026-03-11,2279.13
65,188,2024-01-26,5259.51
66,414,2025-10-29,1016.3
67,2,2026-06-13,3372.08
68,451,2024-04-27,1333.45
69,637,2026-01-04,2188.1
70,708,2024-02-28,4474.59
71,597,2025-01-26,9831.99
72,725,2026-03-10,1963.92
73,599,2026-08-20,4289.32
74,702,2025-12-10,5202.49
75,394,2025-12-04,6387.43
76,542,2024-09-09,328.22
77,576,2026-03-15,7156.3
78,516,2025-10-04,5252.31
79,515,2026-07-08,4397.59
80,704,2025-08-10,1728.11
81,216,2024-02-08,4743.04
82,286,2025-05-13,15238.27
83,467,2026-01-25,9009.22
84,581,2026-02-07,2475.81
85,464,2025-01-11,4341.91
86,180,2024-06-15,4459.21
87,742,2026-04-27,2841.28
88,492,2026-03-13,809.69
89,391,2026-05-06,2516.97
90,791,2025-10-15,5578.18
91,393,2026-03-18,2462.53
92,146,2025-01-27,3370.35
93,886,2026-01-29,9922.91
94,345,2025-04-21,3389.68
95,806,2026-02-13,3589.97
96,466,2024-05-22,4012.9
97,219,2024-10-16,2249.06
98,339,2024-07-28,7337.61
99,820,2025-01-31,1020.2
100,851,2026-03-05,2237.68
101,125,2024-04-22,4361.6
102,889,2025-12-13,2611.29
103,769,2026-03-20,11918.13
104,583,2025-10-16,3621.54
105,165,2025-09-21,3533.17
106,528,2024-05-14,1365.47
107,384,2025-08-20,2662.93
108,113,2024-08-08,7086.12
109,886,2024-08-27,1820.89
110,544,2026-04-19,467.76
111,88,2025-08-22,3106.61
112,308,2026-08-26,3774.35
113,756,2025-03-19,2387.84
114,398,2024-12-14,10036.32
115,446,2026-08-28,17074.8
116,129,2025-08-29,4336.93
117,100,2026-04-21,2637.17
118,881,2024-02-13,5580.62
119,858,2025-05-27,10089.02
120,86,2026-03-07,1968.79
121,495,2026-02-27,6792.36
122,613,2025-11-28,3103.82
123,793,2024-06-09,8595.21
124,504,2025-06-17,1366.16
125,783,2024-04-08,11051.35
126,109,2026-02-20,4460.22
127,14,2025-09-06,5566.9
128,419,2024-07-07,1132.62
129,239,2025-12-09,1094.16
130,680,2025-12-02,4851.13
131,304,2024-02-21,5708.03
132,367,2024-03-27,2861.54
133,482,2024-07-14,6203.29
134,866,2024-03-09,1123.46
135,65,2025-06-07,737.13
136,498,2026-05-07,4035.24
137,351,2024-03-02,1074.38
138,33,2025-08-22,486.41
139,734,2025-02-17,1489.81
140,823,2026-03-26,5546.78
141,156,2025-04-15,4381.15
142,684,2025-10-13,10186.77
143,632,2026-06-17,4636.93
144,635,2024-05-12,1176.04
145,415,2024-11-03,5852.62
146,289,2024-09-19,1913.62
147,64,2024-06-13,2810.24
148,32,2025-09-23,1950.76
149,160,2024-01-08,993.14
150,476,2025-01-11,23798.6
151,127,2024-04-28,1621.48
152,618,2025-08-22,396.32
153,558,2026-01-02,6428.76
154,311,2025-03-31,251.07
155,79,2025-03-09,3126.73
156,466,2025-03-14,7227.0
157,741,2024-07-12,3627.4
158,355,2025-01-01,2701.95
159,726,2026-06-28,1591.98
160,258,2024-02-10,10209.23
161,73,2026-02-06,2679.27
162,585,2024-06-09,6323.68
163,800,2024-04-21,7722.17
164,796,2024-10-05,3001.17
165,864,2024-09-19,1205.08
166,97,2024-11-04,7868.85
167,40,2026-04-08,3132.8
168,513,2026-06-01,3455.33
